	cope_ct	cope2_zstat_std	cope2_zstat_mean	cope3_zstat_std	cope3_zstat_mean	cope4_zstat_std	cope4_zstat_mean	cope5_zstat_std	cope5_zstat_mean	cope6_zstat_std	cope6_zstat_mean	cope7_zstat_std	cope7_zstat_mean	cope8_zstat_std	cope8_zstat_mean	cope9_zstat_std	cope9_zstat_mean	cope10_zstat_std	cope10_zstat_mean	cope11_zstat_std	cope11_zstat_mean	cope12_zstat_std	cope12_zstat_mean	cope13_zstat_std	cope13_zstat_mean	cope14_zstat_std	cope14_zstat_mean	cope15_zstat_std	cope15_zstat_mean	cope16_zstat_std	cope16_zstat_mean	cope17_zstat_std	cope17_zstat_mean	cope1_zstat_std	cope1_zstat_mean
sub-002	0.0																																		
sub-004	0.0																																		
sub-048	0.0																																		
sub-060	0.0																																		
sub-076	0.0																																		
sub-079	0.0																																		
sub-091	0.0																																		
sub-117	0.0																																		
sub-146	0.0																																		
sub-147	0.0																																		
sub-073	0.0																																		
sub-074	0.0																																		
sub-094	0.0																																		
sub-052	0.0																																		
sub-128	0.0																																		
sub-161	0.0																																		
