	run1_func	run2_func	run3_func	run4_func	resting_func	total_funcs	anat_niftis
sub-001	1	1	1	1	1	5	1
sub-002	1	1	1	1	1	5	1
sub-003	1	1	1	1	1	5	1
sub-004	1	1	1	1	1	5	1
sub-005	1	1	1	1	1	5	1
sub-006	1	1	1	1	1	5	1
sub-007	1	1	1	1	1	5	1
sub-008	1	1	1	1	1	5	1
sub-009	1	1	1	1	1	5	1
sub-010	1	1	1	1	1	5	1
sub-011	1	1	1	1	1	5	1
sub-012	1	1	1	1	1	5	1
sub-013	1	1	1	1	1	5	1
sub-014	1	1	1	1	1	5	1
sub-015	1	1	1	1	1	5	1
sub-016	1	1	1	1	1	5	0
sub-017	1	1	1	1	1	5	1
sub-018	1	1	1	1	1	5	1
sub-019	1	1	1	1	1	5	1
sub-020	1	1	1	1	1	5	1
sub-021	1	1	1	1	1	5	1
sub-022	1	1	1	1	1	5	1
sub-023	1	1	1	1	1	5	1
sub-024	1	1	1	1	1	5	1
sub-025	1	1	1	1	1	5	1
sub-026	1	1	1	1	1	5	1
sub-027	1	1	1	1	1	5	1
sub-028	1	1	1	1	1	5	1
sub-030	1	1	1	1	1	5	1
sub-031	1	1	1	1	1	5	1
sub-032	1	1	1	1	1	5	1
sub-033	1	1	1	1	1	5	1
sub-034	1	1	1	1	1	5	1
sub-035	1	1	1	1	1	5	0
sub-036	1	1	1	1	1	5	1
sub-037	1	1	1	1	1	5	1
sub-038	1	1	1	1	1	5	1
sub-039	1	1	1	1	1	5	1
sub-040	1	1	1	1	1	5	1
sub-041	1	1	1	1	1	5	1
sub-042	1	1	1	1	1	5	1
sub-043	1	1	1	1	1	5	1
sub-044	1	1	1	1	1	5	1
sub-045	1	1	1	1	1	5	1
sub-046	1	1	1	1	1	5	1
sub-048	1	1	1	0	1	4	1
sub-050	1	1	1	1	1	5	1
sub-051	1	1	1	1	1	5	1
sub-052	0	0	0	0	0	0	1
sub-053	1	1	1	1	1	5	1
sub-054	1	1	1	1	1	5	1
sub-055	1	1	1	1	1	5	1
sub-056	1	1	1	1	1	5	1
sub-057	1	1	1	1	1	5	1
sub-058	1	1	1	1	1	5	1
sub-059	1	1	1	1	1	5	1
sub-060	1	1	0	0	0	2	1
sub-061	1	1	1	1	1	5	1
sub-062	1	1	1	1	1	5	1
sub-063	1	1	1	1	1	5	1
sub-064	1	1	1	1	1	5	1
sub-065	1	1	1	1	1	5	1
sub-066	1	1	1	1	1	5	1
sub-067	1	1	1	1	1	5	1
sub-068	1	1	1	1	1	5	1
sub-070	1	1	1	1	1	5	1
sub-071	1	1	1	1	1	5	1
sub-072	1	1	1	1	1	5	1
sub-073	1	1	1	0	1	4	1
sub-074	0	0	0	0	0	0	0
sub-075	1	1	1	1	1	5	1
sub-076	1	1	1	0	0	3	1
sub-077	1	1	1	1	1	5	1
sub-078	1	1	1	1	1	5	1
sub-079	1	1	1	1	1	5	1
sub-080	1	1	1	1	1	5	1
sub-082	1	1	1	1	1	5	1
sub-083	1	1	1	1	1	5	1
sub-084	1	1	1	1	1	5	1
sub-085	1	1	1	1	1	5	1
sub-086	1	1	1	1	1	5	1
sub-087	1	1	1	1	1	5	1
sub-088	1	1	1	1	1	5	1
sub-089	1	1	1	1	1	5	1
sub-090	1	1	1	1	1	5	1
sub-091	1	1	1	1	1	5	1
sub-092	1	1	1	1	1	5	1
sub-093	1	1	1	1	1	5	1
sub-095	1	1	1	1	1	5	1
sub-096	1	1	1	1	1	5	1
sub-097	1	1	1	1	1	5	1
sub-098	1	1	1	1	1	5	1
sub-099	1	1	1	1	1	5	1
sub-100	1	1	1	1	1	5	1
sub-102	1	1	1	1	1	5	1
sub-103	1	1	1	1	1	5	1
sub-104	1	1	1	1	1	5	1
sub-107	1	1	1	1	1	5	1
sub-108	1	1	1	1	1	5	1
sub-109	1	1	1	1	1	5	1
sub-111	1	1	1	1	1	5	1
sub-112	1	1	1	1	1	5	1
sub-114	1	1	1	1	1	5	1
sub-115	1	1	1	1	1	5	0
sub-116	1	1	1	1	1	5	1
sub-117	1	1	1	1	1	5	1
sub-118	1	1	1	1	1	5	0
sub-119	1	1	1	1	1	5	1
sub-120	1	1	1	1	1	5	1
sub-121	1	1	1	1	1	5	1
sub-123	1	1	1	1	1	5	1
sub-124	1	1	1	1	1	5	1
sub-127	1	1	1	1	1	5	1
sub-129	1	1	1	1	1	5	1
sub-130	1	1	1	1	1	5	1
sub-131	1	1	1	1	1	5	1
sub-132	1	1	1	1	1	5	1
sub-133	1	1	1	1	1	5	1
sub-134	1	1	1	1	1	5	1
sub-135	1	1	1	1	1	5	1
sub-136	1	1	1	1	1	5	1
sub-137	1	1	1	1	1	5	1
sub-138	1	1	1	1	1	5	1
sub-140	1	1	1	1	1	5	1
sub-141	1	1	1	1	1	5	0
sub-142	1	1	1	1	1	5	0
sub-143	1	1	1	1	1	5	1
sub-144	1	1	1	1	1	5	1
sub-145	1	1	1	1	1	5	0
sub-146	1	1	0	1	1	4	1
sub-147	1	1	1	0	1	4	1
sub-148	1	1	1	1	1	5	1
sub-149	1	1	1	1	1	5	1
sub-150	1	1	1	1	1	5	1
sub-151	1	1	1	1	1	5	1
sub-152	1	1	1	1	1	5	1
sub-153	1	1	1	1	1	5	1
sub-154	1	1	1	1	1	5	1
sub-156	1	1	1	1	1	5	1
sub-157	1	1	1	1	1	5	1
sub-159	1	1	1	1	1	5	1
